# Camera trajectory (x y z format)
# Each line represents a camera position in world coordinates
-88.502766+0.000000j -4.945493+0.000000j -57.737570+0.000000j
-88.529091+0.000000j -4.828908+0.000000j -59.145556+0.000000j
-87.547192+0.000000j -4.640902+0.000000j -59.168527+0.000000j
-87.330550+0.000000j -3.731782+0.000000j -59.524290+0.000000j
-87.711630+0.000000j -4.063240+0.000000j -59.467304+0.000000j
-87.817770+0.000000j -3.741361+0.000000j -59.935458+0.000000j
-88.056943+0.000000j -3.483773+0.000000j -61.979806+0.000000j
-87.116093+0.000000j -3.391514+0.000000j -61.653786+0.000000j
-86.141090+0.000000j -3.263824+0.000000j -61.471946+0.000000j
-84.762966+0.000000j -3.322287+0.000000j -60.889767+0.000000j
-84.720717+0.000000j -3.015666+0.000000j -60.986166+0.000000j
-84.858687+0.000000j -3.204425+0.000000j -61.361771+0.000000j
-83.897306+0.000000j -3.121493+0.000000j -61.099341+0.000000j
-82.993469+0.000000j -3.084869+0.000000j -60.673035+0.000000j
-83.357014+0.000000j -3.100682+0.000000j -60.538440+0.000000j
-83.616001+0.000000j -3.176742+0.000000j -60.928576+0.000000j
-83.665523+0.000000j -3.408104+0.000000j -61.400218+0.000000j
-84.642648+0.000000j -3.536008+0.000000j -61.570123+0.000000j
